民國110年第2季,民國110年第2季,民國110年第2季,民國110年第2季,民國110年第2季,民國110年第2季,民國110年第2季,民國110年第2季,民國110年第2季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,110年06月30日,110年06月30日,109年12月31日,109年12月31日,109年06月30日,109年06月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,63835177.0,16.46,51433522.0,13.2,59005748.0,15.35,,
透過損益按公允價值衡量之金融資產－流動,362554.0,0.09,353986.0,0.09,492238.0,0.13,,
透過其他綜合損益按公允價值衡量之金融資產－流動,6097715.0,1.57,5596471.0,1.44,5392561.0,1.4,,
按攤銷後成本衡量之金融資產－流動,7593330.0,1.96,15769277.0,4.05,15741435.0,4.09,,
應收票據淨額,23845230.0,6.15,29518807.0,7.58,21761282.0,5.66,,
應收帳款淨額,8605952.0,2.22,9522642.0,2.44,9350548.0,2.43,,
應收帳款－關係人淨額,327074.0,0.08,273866.0,0.07,251252.0,0.07,,
其他應收款淨額,1059649.0,0.27,1073289.0,0.28,1009637.0,0.26,,
其他應收款－關係人淨額,9617.0,0.0,3785.0,0.0,775606.0,0.2,,
存貨,9050183.0,2.33,7941755.0,2.04,8164930.0,2.12,,
預付款項,3819462.0,0.98,2135702.0,0.55,2508668.0,0.65,,
待出售非流動資產（或處分群組）淨額,8775403.0,2.26,0.0,0.0,0.0,0.0,,
其他流動資產,532526.0,0.14,686069.0,0.18,679278.0,0.18,,
流動資產合計,133913872.0,34.53,124309171.0,31.91,125133183.0,32.54,,
非流動資產,,,,,,,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,26374488.0,6.8,31903287.0,8.19,33944686.0,8.83,,
按攤銷後成本衡量之金融資產－非流動,16394154.0,4.23,16475021.0,4.23,18259429.0,4.75,,
採用權益法之投資,48819599.0,12.59,50133844.0,12.87,46623322.0,12.13,,
不動產、廠房及設備,88543009.0,22.83,92108972.0,23.65,88940964.0,23.13,,
使用權資產,13366320.0,3.45,13451125.0,3.45,12232441.0,3.18,,
投資性不動產淨額,5437080.0,1.4,5451434.0,1.4,5463136.0,1.42,,
無形資產,19327466.0,4.98,19563960.0,5.02,19168377.0,4.99,,
其他非流動資產,35629609.0,9.19,36109422.0,9.27,34734554.0,9.03,,
非流動資產合計,253891725.0,65.47,265197065.0,68.09,259366909.0,67.46,,
資產總額,387805597.0,100.0,389506236.0,100.0,384500092.0,100.0,,
流動負債,,,,,,,,
短期借款,33348861.0,8.6,34675454.0,8.9,37941935.0,9.87,,
應付短期票券,4995039.0,1.29,6247029.0,1.6,4346458.0,1.13,,
合約負債－流動,1388618.0,0.36,5226637.0,1.34,4915311.0,1.28,,
應付帳款,7329827.0,1.89,6137904.0,1.58,7282218.0,1.89,,
其他應付款,9200675.0,2.37,10669913.0,2.74,24515030.0,6.38,,
本期所得稅負債,2708808.0,0.7,3914955.0,1.01,2912678.0,0.76,,
與待出售非流動資產直接相關（或處分群組）之負債,7366853.0,1.9,0.0,0.0,0.0,0.0,,
租賃負債－流動,331059.0,0.09,315451.0,0.08,374569.0,0.1,,
其他流動負債,4647297.0,1.2,4916365.0,1.26,3309300.0,0.86,,
流動負債合計,71317037.0,18.39,72103708.0,18.51,85597499.0,22.26,,
非流動負債,,,,,,,,
應付公司債,44569541.0,11.49,53897370.0,13.84,55846464.0,14.52,,
長期借款,21578225.0,5.56,24998481.0,6.42,27190805.0,7.07,,
遞延所得稅負債,11681069.0,3.01,11754270.0,3.02,11632365.0,3.03,,
租賃負債－非流動,2196179.0,0.57,1978361.0,0.51,2003643.0,0.52,,
其他非流動負債,5934968.0,1.53,5943993.0,1.53,5768082.0,1.5,,
非流動負債合計,85959982.0,22.17,98572475.0,25.31,102441359.0,26.64,,
負債總額,157277019.0,40.56,170676183.0,43.82,188038858.0,48.9,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,59574403.0,15.36,57414007.0,14.74,54656192.0,14.21,,
特別股股本,2000000.0,0.52,2000000.0,0.51,2000000.0,0.52,,
債券換股權利證書,1661397.0,0.43,688542.0,0.18,0.0,0.0,,
待分配股票股利,0.0,0.0,0.0,0.0,2728810.0,0.71,,
股本合計,63235800.0,16.31,60102549.0,15.43,59385002.0,15.44,,
資本公積,,,,,,,,
資本公積合計,55380287.0,14.28,49122450.0,12.61,48019924.0,12.49,,
保留盈餘,,,,,,,,
保留盈餘合計,85987152.0,22.17,74199518.0,19.05,59939096.0,15.59,,
其他權益,,,,,,,,
其他權益合計,12721098.0,3.28,21146991.0,5.43,16208790.0,4.22,,
庫藏股票,-392343.0,-0.1,-499691.0,-0.13,-499691.0,-0.13,,
歸屬於母公司業主之權益合計,216931994.0,55.94,204071817.0,52.39,183053121.0,47.61,,
非控制權益,13596584.0,3.51,14758236.0,3.79,13408113.0,3.49,,
權益總額,230528578.0,59.44,218830053.0,56.18,196461234.0,51.1,,
負債及權益總計,387805597.0,100.0,389506236.0,100.0,384500092.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,9060600.0,,11521600.0,,11521600.0,,,
